ID,ISOMERIC SMILES,MW,pAct
CHEMBL2057829,[N-]=[N+]=NCCC(=O)Nc1ccc(C(=O)Nc2cc(N=[N+]=[N-])ccc2N)cc1,365.1348707200001,4.259637310505756
CHEMBL2047690,CSc1ccc(C/C(=N\O)C(=O)NCCS)cc1,284.065319752,8.698970004336019
CHEMBL1086266,O=C(CCCCCNC(=O)NC(=O)c1ccc([N+](=O)[O-])cc1)NO,338.122634296,5.636388020107856
CHEMBL1084812,O=C(CCCCCNC(=O)NC(=O)c1cccc([N+](=O)[O-])c1)NO,338.12263429599994,5.552841968657781
CHEMBL1086548,O=C(CCCCCNC(=O)NC(=O)c1ccc2c(c1)ncn2CCc1ccccc1)NO,437.20630434400005,5.013228265733755
CHEMBL2018451,CN1CCc2c(n(Cc3ccc(C(=O)NO)cc3)c3ccccc23)C1,335.163376912,5.285670240254767
CHEMBL2018294,Cc1cccc2c3c(n(Cc4ccc(C(=O)NO)cc4)c12)CCN(C)C3,349.17902697600005,4.655607726314889
CHEMBL2408689,CN1C(=O)[C@H](O)N=C(c2ccccc2)c2cc(C#CCCCC(=O)NO)ccc21,391.153206152,6.1249387366083
CHEMBL2408692,CN1C(=O)CN=C(c2ccccc2)c2cc(C#C/C=C/C(=O)NO)ccc21,359.12699140399997,6.356547323513812
CHEMBL2012816,CCC(=O)CCCCC[C@@H]1NC(=O)[C@@H](C)NC(=O)C[C@H](CC(C)C)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O,567.3420695400001,5.187086643357144
CHEMBL1091474,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(-c3ccc(F)cc3)nn2)c1)NO,425.18631784800004,7.496209316942819
CHEMBL1091815,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(-c3cc(F)cc(F)c3)nn2)c1)NO,443.1768960360001,8.275724130399212
CHEMBL1087053,Nc1ccccc1NC(=O)CCCCCCC(=O)Nc1cccc(-n2cc(-c3ccccc3)nn2)c1,482.24302420000004,4.221848749616356
CHEMBL95885,COc1ccccc1C(=O)CCCCCCC(=O)NO,279.147058152,7.022276394711152
CHEMBL5093633,Cc1ccc(-c2cc(/C=C/c3ccc(C(=O)NO)cc3)ccn2)c(F)c1,348.1274060040001,6.431798275933005
CHEMBL420998,Nc1ccccc1NC(=O)CCCCCCC(=O)c1ccc(-c2cccnc2)cc1,401.21032710400004,5.0
CHEMBL5274330,O=C(CCCCCC(=O)N(Cc1ccc(Br)s1)c1ccc(OCCN2CCOCC2)cc1)NO,553.124604224,8.943095148663527
CHEMBL406927,COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(C)=O)c3nc4ccc(Cl)cc4[nH]3)c2c1,494.20846853200004,6.173925197299173
CHEMBL95510,CC(CCCCCC(=O)c1ccc2ccccc2c1)C(=O)NO,313.167793596,6.221848749616356
CHEMBL95747,O=C(CCCCCCCc1ccc2ccccc2c1)NO,285.172878976,7.6020599913279625
CHEMBL2371802,CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccc(OC)cc2)NC(=O)[C@H](CCCCCC(=O)C(F)(F)C(F)(F)F)NC(=O)[C@H]2CCCN2C1=O,660.2946261320001,6.070581074285707
CHEMBL169352,Nc1ccccc1NC(=O)/C=C/c1ccc(NS(=O)(=O)c2cccc3ccccc23)cc1,443.130362532,5.522878745280337
CHEMBL99,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,302.163042564,8.397940008672037
CHEMBL98,O=C(CCCCCCC(=O)Nc1ccccc1)NO,264.1473925,7.017728766960431
CHEMBL149444,COc1ccc(S(=O)(=O)Nc2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)cc1OC,453.13584183600005,5.3979400086720375
CHEMBL97272,CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(/C=C/C(=O)NO)cc2)cc1,374.13002818399997,7.0
CHEMBL318821,Nc1ccccc1NC(=O)CCCCCN1Cc2ccccc2C1=O,337.179026976,5.3979400086720375
CHEMBL317814,O=C(/C=C/c1ccc(NS(=O)(=O)c2ccccc2)cc1)NO,318.067427928,6.698970004336019
CHEMBL5270751,Cc1onc(-c2ccccc2)c1C(=O)NCCCCCNC(=O)[C@H](C)S,375.16166266000005,4.221848749616356
CHEMBL5221043,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1CCCCCC(=O)NO,468.20336488,7.070581074285707
CHEMBL5083922,COc1ccc(CNc2nc(SCc3ccc(C(=O)Nc4ccc(F)cc4N)cc3)nn3cccc23)cc1,528.17437326,5.297569463554475
CHEMBL227120,CN(C)c1ccc(NC(=O)NCCCCCCC(=O)NO)cc1,322.20049069199996,6.679853713888946
CHEMBL552949,Nc1ccccc1NC(=O)CCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccccc1)C(=O)Nc1ccccc1N,613.3376528559999,5.136677139879544
